DEAL_NO,PURPOSE,AMOUNT
517183,Working Capital,3497.63
517184,Debt Consolidation,14788.34
517185,Debt Consolidation,125341.39
517186,Working Capital,2393.37
517187,Working Capital,17590.89
517188,Working Capital,51396.33
517189,Business Expansion,3443.45
517190,Equipment Purchase,36810.01
517191,Business Expansion,133312.04
517192,Business Expansion,2131.08
517193,Working Capital,17952.47
517194,Business Expansion,59040.31
517194,Working Capital,59040.31
517195,Working Capital,1508.66
517196,Working Capital,14462.07
517197,Business Expansion,54210.58
517198,Debt Consolidation,2836.06
517199,Working Capital,20784.63
517200,Debt Consolidation,143075.36
517201,Business Expansion,3389.44
517202,Equipment Purchase,38469.43
517203,Business Expansion,186676.24
517204,Debt Consolidation,836.12
517204,Working Capital,836.11
517205,Equipment Purchase,8978.46
517206,Business Expansion,78103.57
517207,Working Capital,3027.37
517208,Business Expansion,19484.74
517209,Debt Consolidation,179452.01
517210,Business Expansion,1280.62
517210,Working Capital,1280.62
517211,Working Capital,11306.28
517211,Working Capital,11306.29
517212,Working Capital,88601.21
517212,Business Expansion,88601.2
517213,Working Capital,2021.88
517213,Business Expansion,2021.87
517214,Business Expansion,8979.46
517214,Working Capital,8979.46
517215,Working Capital,72151.01
517215,Working Capital,72151.02
517216,Equipment Purchase,2214.52
517217,Debt Consolidation,5464.07
517218,Construction,143866.83
517219,Working Capital,1766.91
517219,Construction,1766.91
517220,Working Capital,38621.04
517221,Working Capital,84200.01
517222,Working Capital,2927.1
517223,Working Capital,17642.33
517224,Business Expansion,93973.72
517225,Working Capital,1547.62
517225,Debt Consolidation,1547.63
517226,Construction,17262.27
517227,Business Expansion,118203.42
517228,Construction,2031.31
517229,Business Expansion,13302.19
517230,Debt Consolidation,128518.28
517231,Business Expansion,2780.13
517232,Debt Consolidation,8956.33
517233,Business Expansion,183440.87
517234,Working Capital,3678.03
517235,Business Expansion,10405.75
517236,Debt Consolidation,156361.03
517237,Equipment Purchase,1917.31
517237,Business Expansion,1917.3
517238,Working Capital,10228.93
517238,Working Capital,10228.93
517239,Construction,54619.42
517240,Working Capital,2160.2
517241,Working Capital,29813.44
517242,Equipment Purchase,68649.76
517242,Working Capital,68649.77
517243,Working Capital,3161.66
517244,Working Capital,10978.2
517244,Working Capital,10978.21
517245,Working Capital,73997.74
517246,Business Expansion,2205.06
517247,Working Capital,37814.23
517248,Business Expansion,64042.44
517248,Working Capital,64042.44
517248,Equipment Purchase,64042.44
517249,Debt Consolidation,1572.34
517250,Business Expansion,31391.88
517251,Working Capital,36687.5
517252,Debt Consolidation,3520.14
517253,Debt Consolidation,14820.21
517254,Equipment Purchase,123729.07
517255,Working Capital,2205.76
517255,Debt Consolidation,2205.76
517256,Business Expansion,14772.13
517257,Debt Consolidation,183957.08
517258,Equipment Purchase,4062.52
517259,Equipment Purchase,24179.22
517260,Working Capital,122637.22
517261,Construction,3315.72
517262,Equipment Purchase,22439.44
517263,Working Capital,60553.84
517264,Equipment Purchase,4148.88
517265,Working Capital,4537.01
517265,Working Capital,4537.0
517266,Working Capital,59402.08
517267,Business Expansion,2885.59
517268,Working Capital,14482.34
517269,Working Capital,80872.99
517270,Debt Consolidation,3374.06
517271,Working Capital,12229.91
517272,Working Capital,41486.95
517272,Business Expansion,41486.95
517272,Equipment Purchase,41486.95
517273,Working Capital,2540.51
517274,Business Expansion,15789.21
517275,Business Expansion,42238.03
517276,Equipment Purchase,3356.34
517277,Working Capital,33098.04
517278,Business Expansion,184747.07
517279,Working Capital,1400.06
517279,Working Capital,1400.05
517280,Business Expansion,27225.51
517281,Working Capital,42450.98
517281,Equipment Purchase,42450.99
517281,Business Expansion,42450.98
517282,Working Capital,2365.0
517283,Working Capital,28276.33
517284,Construction,51041.61
517284,Business Expansion,51041.61
517284,Working Capital,51041.62
517285,Working Capital,2510.43
517286,Equipment Purchase,38276.91
517287,Construction,191105.25
517288,Business Expansion,2386.81
517289,Working Capital,23119.99
517290,Construction,63683.54
517290,Business Expansion,63683.54
517291,Working Capital,1383.61
517291,Business Expansion,1383.62
517291,Equipment Purchase,1383.61
517292,Working Capital,34318.48
517293,Working Capital,75408.97
517294,Working Capital,3136.17
517295,Equipment Purchase,18768.97
517296,Equipment Purchase,169504.36
517297,Business Expansion,2713.97
517298,Business Expansion,28950.04
517299,Working Capital,46559.72
517300,Working Capital,1675.09
517301,Business Expansion,15197.01
517302,Construction,197533.52
517303,Business Expansion,3409.09
517304,Business Expansion,20018.18
517305,Working Capital,140986.8
517306,Working Capital,4391.15
517307,Debt Consolidation,8920.35
517308,Working Capital,66089.71
517309,Debt Consolidation,3460.82
517310,Construction,34983.58
517311,Equipment Purchase,45006.1
517311,Business Expansion,45006.1
517312,Business Expansion,4625.99
517313,Business Expansion,28521.35
517314,Business Expansion,69231.88
517314,Construction,69231.87
517315,Debt Consolidation,1893.55
517316,Equipment Purchase,5140.15
517317,Working Capital,95123.9
517318,Working Capital,1145.78
517318,Business Expansion,1145.78
517318,Equipment Purchase,1145.77
517319,Debt Consolidation,32921.25
517320,Construction,95753.08
517321,Debt Consolidation,3112.07
517322,Business Expansion,27198.01
517323,Debt Consolidation,103822.75
517324,Working Capital,2664.51
517325,Debt Consolidation,13104.63
517326,Working Capital,93893.0
517326,Debt Consolidation,93893.0
517327,Equipment Purchase,2618.72
517328,Business Expansion,22664.44
517329,Construction,182965.6
517330,Construction,2526.07
517331,Business Expansion,27984.35
517332,Business Expansion,52391.17
517333,Business Expansion,3026.64
517334,Equipment Purchase,11097.3
517335,Working Capital,65927.46
517336,Equipment Purchase,1382.52
517336,Business Expansion,1382.52
517336,Working Capital,1382.52
517337,Working Capital,29748.13
517338,Equipment Purchase,180998.48
517339,Working Capital,1191.52
517339,Debt Consolidation,1191.52
517340,Working Capital,6168.98
517341,Construction,94228.0
517342,Debt Consolidation,3444.04
517343,Equipment Purchase,38312.53
517344,Debt Consolidation,35429.96
517344,Working Capital,35429.96
517345,Equipment Purchase,4505.69
517346,Debt Consolidation,26803.17
517347,Business Expansion,184244.97
517348,Working Capital,1278.64
517348,Working Capital,1278.64
517349,Business Expansion,8414.76
517350,Debt Consolidation,100106.55
517351,Working Capital,1677.28
517351,Working Capital,1677.28
517352,Business Expansion,12672.01
517353,Business Expansion,81666.48
517354,Equipment Purchase,4247.06
517355,Equipment Purchase,20367.43
517356,Equipment Purchase,106340.27
517357,Working Capital,2749.69
517358,Construction,11444.17
517358,Working Capital,11444.17
517358,Business Expansion,11444.18
517359,Debt Consolidation,142598.96
517360,Working Capital,3440.03
517361,Business Expansion,17851.41
517362,Construction,89857.55
517363,Working Capital,2530.96
517364,Construction,15965.91
517365,Business Expansion,127885.37
517366,Business Expansion,3213.56
517367,Business Expansion,19992.06
517368,Business Expansion,66910.82
517368,Working Capital,66910.81
517369,Business Expansion,3816.04
517370,Working Capital,18712.27
517371,Debt Consolidation,168482.69
517372,Equipment Purchase,3288.55
517373,Equipment Purchase,39083.68
517374,Business Expansion,50197.77
517375,Equipment Purchase,4496.42
517376,Business Expansion,11142.24
517377,Working Capital,46237.41
517378,Business Expansion,4119.64
517379,Working Capital,9942.87
517380,Business Expansion,102829.75
517381,Business Expansion,2948.95
517382,Working Capital,21200.82
517383,Business Expansion,145000.36
517384,Working Capital,3004.61
517385,Business Expansion,15831.73
517386,Working Capital,83201.76
517387,Business Expansion,2456.66
517388,Working Capital,32142.11
517389,Debt Consolidation,93253.09
517390,Working Capital,1431.97
517391,Working Capital,5592.24
517391,Working Capital,5592.24
517391,Equipment Purchase,5592.25
517392,Working Capital,48501.62
517393,Business Expansion,2373.18
517394,Equipment Purchase,29819.93
517395,Working Capital,88421.71
517396,Business Expansion,4298.27
517397,Construction,12078.09
517398,Working Capital,51635.73
517399,Working Capital,3884.21
517400,Equipment Purchase,25786.33
517401,Business Expansion,113528.83
517402,Business Expansion,881.39
517402,Working Capital,881.4
517403,Working Capital,21141.21
517404,Construction,73797.07
517405,Equipment Purchase,1103.53
517405,Business Expansion,1103.52
517406,Working Capital,15608.99
517407,Construction,78386.79
517408,Working Capital,1248.63
517409,Business Expansion,16427.74
517409,Working Capital,16427.75
517410,Debt Consolidation,51782.94
517411,Equipment Purchase,2729.58
517412,Business Expansion,5235.03
517413,Business Expansion,155299.4
517414,Working Capital,3587.0
517415,Working Capital,4874.65
517415,Working Capital,4874.65
517416,Working Capital,57877.08
517417,Working Capital,1821.95
517417,Working Capital,1821.95
517418,Business Expansion,17225.72
517418,Equipment Purchase,17225.72
517419,Business Expansion,184426.52
517420,Business Expansion,3934.16
517421,Equipment Purchase,2323.61
517421,Business Expansion,2323.6
517421,Working Capital,2323.61
517422,Business Expansion,199827.49
517423,Business Expansion,1405.22
517423,Working Capital,1405.22
517423,Equipment Purchase,1405.23
517424,Business Expansion,12790.78
517424,Working Capital,12790.78
517424,Construction,12790.79
517425,Equipment Purchase,175817.51
517426,Business Expansion,2231.86
517426,Working Capital,2231.86
517427,Working Capital,10938.26
517428,Debt Consolidation,59905.92
517428,Working Capital,59905.91
517429,Working Capital,992.04
517429,Working Capital,992.05
517430,Working Capital,17293.55
517431,Equipment Purchase,141913.7
517432,Business Expansion,2717.1
517433,Business Expansion,9575.69
517434,Business Expansion,40514.06
517434,Working Capital,40514.06
517435,Business Expansion,3763.02
517436,Construction,35941.55
517437,Working Capital,40202.55
517438,Debt Consolidation,3844.47
517439,Equipment Purchase,9861.95
517440,Business Expansion,85475.16
517441,Business Expansion,4056.54
517442,Equipment Purchase,7656.2
517443,Working Capital,54628.33
517444,Business Expansion,3053.43
517445,Working Capital,28606.57
517446,Working Capital,75035.71
517447,Working Capital,665.0
517447,Working Capital,665.01
517448,Business Expansion,11650.05
517449,Business Expansion,161453.2
517450,Equipment Purchase,3572.89
517451,Debt Consolidation,2688.74
517451,Working Capital,2688.73
517452,Debt Consolidation,124980.8
517453,Equipment Purchase,4296.02
517454,Working Capital,20947.06
517455,Construction,185040.35
517456,Equipment Purchase,1770.05
517456,Working Capital,1770.05
517457,Construction,7487.1
517458,Debt Consolidation,139125.82
517459,Business Expansion,2017.42
517460,Working Capital,15109.64
517461,Working Capital,153614.34
517462,Construction,4187.95
517463,Working Capital,7099.36
517464,Working Capital,35400.98
517464,Debt Consolidation,35400.98
517465,Business Expansion,4179.69
517466,Business Expansion,23681.91
517467,Working Capital,59032.89
517467,Business Expansion,59032.88
517468,Business Expansion,2702.23
517469,Working Capital,38166.76
517470,Equipment Purchase,185411.03
517471,Business Expansion,2025.44
517472,Working Capital,9128.72
517473,Equipment Purchase,50838.54
517473,Business Expansion,50838.55
517474,Business Expansion,2558.93
517475,Business Expansion,39458.25
517476,Business Expansion,129940.6
517477,Business Expansion,3420.17
517478,Working Capital,40696.74
517479,Debt Consolidation,167124.37
517480,Business Expansion,3493.34
517481,Working Capital,24350.49
517482,Working Capital,39447.12
517483,Working Capital,2093.77
517484,Construction,6342.16
517485,Business Expansion,78402.76
517486,Business Expansion,3479.71
517487,Construction,24047.65
517488,Working Capital,48132.46
517488,Working Capital,48132.46
517489,Construction,4075.35
517490,Working Capital,15906.19
517490,Business Expansion,15906.2
517491,Working Capital,72953.29
517491,Working Capital,72953.29
517492,Business Expansion,4333.07
517493,Business Expansion,5241.05
517494,Construction,171809.48
517495,Business Expansion,1893.01
517496,Debt Consolidation,10822.11
517497,Business Expansion,40329.33
517497,Working Capital,40329.33
517498,Working Capital,1892.2
517499,Equipment Purchase,25391.47
517500,Construction,145082.78
517501,Construction,1102.44
517501,Working Capital,1102.44
517501,Business Expansion,1102.44
517502,Working Capital,9278.29
517503,Equipment Purchase,153111.6
517504,Working Capital,2287.48
517505,Business Expansion,31635.96
517506,Equipment Purchase,76656.37
517506,Business Expansion,76656.37
517507,Debt Consolidation,1124.79
517507,Working Capital,1124.79
517508,Working Capital,27234.48
517509,Working Capital,68900.75
517510,Construction,1323.34
517510,Business Expansion,1323.34
517511,Working Capital,19256.28
517512,Working Capital,173902.69
517513,Working Capital,1511.95
517513,Business Expansion,1511.95
517514,Working Capital,3485.21
517514,Working Capital,3485.21
517515,Business Expansion,137100.47
517516,Business Expansion,2412.87
517517,Business Expansion,7516.63
517518,Equipment Purchase,71081.68
517519,Debt Consolidation,2737.04
517520,Equipment Purchase,22157.32
517521,Business Expansion,117523.85
517522,Working Capital,2917.89
